year,country,Public_Debt (%GDP),Energy_Import_Dependency,Tertiary_education_attainment,Inflation_Rate,Unemployment_Variation,Worldwide_Governance_Indicators,Productivity_Variation,GDP_Growth,missing_count
2003,PRY,,0.0,,,,48.0936753,,,138
2003,ROU,16.691,25.5753417904759,17.160242,,7.025,60.0732346,18.720119769505565,,48
2003,RUS,,0.0,,13.66329,8.21,49.591482299999996,,7.175949193,66
2003,RWA,,7.03001136475243,,,,34.128096299999996,,,126
2003,SAU,,0.0,,0.6121928,,24.786305499999997,,11.758820687,96
2003,SDN,,0.0,,,,26.804710099999998,,,132
2003,SEN,,66.462291334045,,,,59.269175499999996,,,138
2003,SGP,,100.0,,,,59.1176215,,,138
2003,SLV,,57.517017247556,,,,55.765740799999996,,,132
2003,SRB,,28.7273661972035,,,,51.5275341,,,138
2003,SUR,,0.0,,,,62.838794099999994,,,138
2003,SVK,36.467,64.6311257471989,11.784762,8.554143,17.516,71.9245567,19.870876750221026,4.856698516,0
2003,SVN,30.907,52.3979550434148,17.744364,5.544164,6.675,74.6632307,25.893570157362326,3.195031074,0
2003,SWE,48.015,44.9097819511297,33.419739,1.925655,5.762,86.89591449999999,279.24896734814286,1.881025943,0
2003,SWZ,,9.34605669379733,,,,32.0514732,,,132
2003,SYR,,0.0,,,,26.6476077,,,132
2003,TCD,,0.0,,,,35.3012321,,,114
2003,THA,,47.9668949890537,,,,59.650048899999994,,,138
2003,TJK,,32.56065046383,,,,38.5303276,,,132
2003,TKM,,0.0,,,,24.7827,,,132
2003,TTO,,0.0,,,,65.82904359999999,,,132
2003,TUN,,24.9047286141397,,,,37.2797012,,,132
2003,TUR,48.901,71.8014634682364,9.7044678,21.60244,10.542,55.6602848,29.757187016006924,5.799093309,0
2003,UGA,,4.81174477379971,,,,41.373886899999995,,,132
