year,country,Inflation_Rate,Unemployment_Variation,Gov_score,Productivity_Variation,GDP_Growth
2017,MEX,6.041456,3.438,54.3681548,116.50543619805708,1.871728533
2017,MKD,,22.381,52.075271,,
2017,MLT,,4.002,76.5685656,,
2017,MMR,,,38.156616199999995,,
2017,MNE,,,59.7767845,,
2017,MNG,,,60.305044599999995,,
2017,MOZ,,,46.4897262,,
2017,MYS,,,49.4868804,,
2017,NAM,,,64.0351803,,
2017,NER,,,48.622446499999995,,
2017,NGA,,,47.310437099999994,,
2017,NIC,,,41.9249213,,
2017,NLD,1.381459,5.855,87.1501207,67.61238481872475,2.782872367
2017,NOR,1.875101,4.162,90.6411619,478.30246916666647,2.669643376
2017,NPL,,,53.6342527,,
2017,NZL,1.850787,4.737,87.8657607,56.20372273484383,3.290067624
2017,OMN,,,45.8281304,,
2017,PAK,,,42.521502399999996,,
2017,PAN,,,64.98047749999999,,
2017,PER,,3.992,62.3367072,,
2017,PHL,,,55.192928099999996,,
2017,POL,1.975,4.888,68.7573168,55.7505093125857,5.152450688
2017,PRT,1.368614,9.17,79.8066381,33.70126971863703,3.314719405
2017,PRY,,,54.552177699999994,,
2017,QAT,,,40.160724699999996,,
2017,ROU,,4.927,65.5699473,48.81858602143562,
2017,RUS,3.683334,5.203,43.4836317,,1.825809276
2017,RWA,,,42.8841119,,
2017,SAU,-0.8364107,,28.4453531,,1.182107059
2017,SDN,,,24.831574,,
2017,SEN,,,57.9433235,,
2017,SGP,,,61.313637799999995,,
2017,SLV,,,55.707468,,
2017,SRB,,,56.368081999999994,,
2017,SSD,,,24.1718929,,
2017,SUR,,,57.696104299999995,,
2017,SVK,1.311946,8.131,71.5727969,32.268532559393925,2.874733275
2017,SVN,1.429107,6.564,72.8887408,38.521675911498924,5.174402771
2017,SWE,1.794499,6.665,87.261258,353.4290177613534,1.88282263
2017,SWZ,,,33.5049114,,
2017,SYR,,,22.0823845,,
2017,TCD,,,34.6347058,,
2017,TGO,,,43.706611699999996,,
2017,THA,,,41.380994699999995,,
2017,TJK,,,33.7597319,,
2017,TKM,,,26.359942099999998,,
2017,TTO,,,65.2973338,,
2017,TUN,,,58.662259199999994,,
