year,country,Governance score (0-100)
2012,AUT,84.0175917
2012,BEL,81.9102097
2012,BGR,63.0217074
2012,BRA,66.5333263
2012,CAN,82.1760445
2012,CHE,85.8970265
2012,CHL,76.9020475
2012,CHN,31.380107499999998
2012,COL,55.930006899999995
2012,CRI,76.05405019999999
2012,CYP,76.1561352
2012,CZE,72.34706849999999
2012,DEU,83.58023949999999
2012,DNK,89.1101001
2012,ESP,77.6944412
2012,EST,77.030108
2012,FIN,88.69585119999999
2012,FRA,79.83687019999999
2012,GBR,81.63207419999999
2012,GRC,69.2308011
2012,HRV,66.9041743
2012,HUN,69.5198407
2012,IDN,57.4061423
2012,IND,61.6528272
2012,IRL,80.7225399
2012,ISL,83.2687512
2012,ISR,65.5250622
2012,ITA,72.3763152
2012,JPN,79.5104015
2012,LTU,72.10741569999999
2012,LUX,85.7630221
2012,LVA,69.0266084
2012,MEX,59.672896699999995
2012,MKD,56.538281399999995
2012,MLT,77.21532979999999
2012,NLD,88.3309646
2012,NOR,89.757778
2012,NZL,88.17169369999999
2012,PER,62.204628199999995
2012,POL,76.2510757
2012,PRT,77.7457743
2012,ROU,62.584344699999995
2012,RUS,42.7498486
2012,SAU,26.9235887
2012,SGP,62.7911716
2012,SVK,73.2549244
2012,SVN,72.8660033
2012,SWE,90.2874698
2012,TUR,53.426342399999996
2012,USA,78.97021339999999
2012,ZAF,66.267838
2013,ARG,61.189000799999995
2013,AUS,83.85988549999999
2013,AUT,84.6125958
2013,BEL,82.5470903
2013,BGR,60.3717816
2013,BRA,64.30462589999999
2013,CAN,82.4641845
2013,CHE,85.6952525
2013,CHL,76.8526923
2013,CHN,31.0798663
2013,COL,54.8880505
2013,CRI,75.9115502
2013,CYP,75.161075
2013,CZE,72.8109125
2013,DEU,83.6048742
2013,DNK,88.7377959
2013,ESP,74.6541486
2013,EST,76.86192129999999
2013,FIN,87.6526679
2013,FRA,78.3724421
2013,GBR,81.52312119999999
2013,GRC,68.6771029
2013,HRV,65.8326369
2013,HUN,68.613028
2013,IDN,56.699157299999996
2013,IND,62.1381958
2013,IRL,80.54637029999999
2013,ISL,83.8659064
2013,ISR,65.28203479999999
2013,ITA,72.7085037
2013,JPN,78.2998173
2013,LTU,72.0562332
2013,LUX,85.1513784
2013,LVA,69.1848851
2013,MEX,59.307306399999995
2013,MKD,54.9348259
2013,MLT,78.05787169999999
2013,NLD,86.90611849999999
2013,NOR,89.842231
2013,NZL,87.7578403
2013,PER,60.4225825
2013,POL,73.4277212
2013,PRT,77.28566889999999
2013,ROU,61.8084261
2013,RUS,42.1805381
2013,SAU,26.0362826
2013,SGP,62.107496399999995
2013,SVK,73.3273164
2013,SVN,72.2603262
2013,SWE,88.79555239999999
2013,TUR,51.5118589
2013,USA,77.2611111
2013,ZAF,66.1346616
2014,ARG,62.192376499999995
2014,AUS,83.6972559
2014,AUT,83.60309769999999
2014,BEL,82.51924389999999
2014,BGR,60.6926827
2014,BRA,64.2886513
2014,CAN,81.71147069999999
2014,CHE,85.40031979999999
2014,CHL,77.03946479999999
2014,CHN,32.9618757
2014,COL,55.8546972
2014,CRI,76.8298148
2014,CYP,74.95910669999999
2014,CZE,73.6817786
2014,DEU,84.03530599999999
2014,DNK,86.3617245
2014,ESP,75.3333607
2014,EST,78.16046949999999
2014,FIN,87.455028
2014,FRA,78.039137
2014,GBR,81.0109896
2014,GRC,68.91946159999999
2014,HRV,66.23060319999999
2014,HUN,65.83182479999999
2014,IDN,56.837447999999995
2014,IND,61.483189599999996
2014,IRL,80.6613459
2014,ISL,82.9094181
2014,ISR,65.20424849999999
2014,ITA,73.9186643
2014,JPN,78.4535539
2014,LTU,72.4091796
2014,LUX,84.6404213
2014,LVA,70.2553846
2014,MEX,57.8848529
2014,MKD,53.6878471
2014,MLT,77.376302
2014,NLD,86.8776262
2014,NOR,89.1198805
2014,NZL,86.8164129
2014,PER,60.6914015
2014,POL,75.5295216
2014,PRT,79.1927558
2014,ROU,64.3731446
2014,RUS,42.9272626
2014,SAU,26.0994718
2014,SGP,62.446953699999995
2014,SVK,73.09650409999999
2014,SVN,71.5216354
2014,SWE,87.5614466
2014,TUR,48.3717566
2014,USA,77.8551578
2014,ZAF,66.5991409
2015,ARG,63.2869611
2015,AUS,84.05763739999999
2015,AUT,83.9174984
2015,BEL,83.4984434
2015,BGR,61.0875091
2015,BRA,64.9224025
2015,CAN,84.5437007
2015,CHE,85.41250149999999
2015,CHL,76.5716741
2015,CHN,32.4786757
2015,COL,57.143398499999996
2015,CRI,77.1279242
2015,CYP,74.5414851
2015,CZE,74.12534939999999
2015,DEU,84.70839219999999
2015,DNK,88.4046798
2015,ESP,76.0518361
2015,EST,78.8819589
2015,FIN,88.9116954
2015,FRA,78.3723529
2015,GBR,82.45158099999999
2015,GRC,68.5275896
2015,HRV,67.0648751
2015,HUN,64.8981107
2015,IDN,58.356548499999995
2015,IND,62.0542118
2015,IRL,81.2097304
